date,client_lat,client_lon,client_city,client_country,client_asn,client_isp,server_lat,server_lon,server_site,server_city,download_mbps,min_rtt_ms,packet_loss_rate
2025-10-13,28.8498,-81.6741,Eustis,US,209,"Qwest Communications Company, LLC",50.1008,14.26,prg05,Prague,18.1643399476207,178.949,0.19670474972091762
2025-10-13,26.7165,-80.0679,West Palm Beach,US,7018,"AT&T Services, Inc.",35.5533,139.781,hnd02,Tokyo,10.375621000261859,183.0,0.0
2025-10-13,28.5423,-81.5911,Winter Garden,US,33363,"BRIGHT HOUSE NETWORKS, LLC",35.5533,139.781,hnd02,Tokyo,112.60787618768005,172.64,1.1817903921331463e-05
2025-10-13,25.7701,-80.1928,Miami,US,14593,Space Exploration Technologies Corporation,45.4657,-73.7455,yul06,Montreal,93.7260442597754,58.115,0.0003463486347903233
2025-10-13,29.2866,-81.0869,Ormond Beach,US,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4719,-3.56264,mad04,Madrid,163.20417569468583,123.647,0.0
2025-10-13,21.3513,-157.8725,Honolulu,US,6167,Cellco Partnership DBA Verizon Wireless,21.3206,-157.924,hnl02,Honolulu,1.0345973917598479,128.466,0.011305935616198505
2025-10-13,21.4535,-158.0193,Mililani Town,US,20001,Time Warner Cable Internet LLC,21.3206,-157.924,hnl02,Honolulu,175.88363408008792,94.188,0.0
2025-10-13,21.3133,-157.823,Honolulu,US,6167,Cellco Partnership DBA Verizon Wireless,21.3206,-157.924,hnl02,Honolulu,6.900079668111866,129.384,0.0020824521158871877
2025-10-13,21.2817,-157.825,Honolulu,US,20001,Time Warner Cable Internet LLC,21.3206,-157.924,hnl02,Honolulu,184.82398627497508,95.046,1.2483087393782766e-05
2025-10-13,41.864,-88.0671,Glen Ellyn,US,7922,"Comcast Cable Communications, LLC",50.0333,8.57056,fra04,Frankfurt,187.9502014809165,110.24,0.0
2025-10-13,39.9594,-86.0199,Fishers,US,17054,"CONTINENTAL BROADBAND PENNSYLVANIA, INC.",45.4494,9.2783,mil06,Milan,30.422234097701775,126.625,0.23140911933793076
2025-10-13,42.5059,-96.4276,Sioux City,US,54578,FiberComm LC,51.4775,-0.461389,lhr07,London,16.569824402532227,115.395,0.0
2025-10-13,38.9694,-94.6266,Leawood,US,7018,"AT&T Services, Inc.",49.0097,2.54778,par05,Paris,110.0490416349505,113.489,0.11495722309473706
2025-10-13,39.1139,-94.6254,Kansas City,US,16591,Google Fiber Inc.,45.4657,-73.7455,yul08,Montreal,603.8101119901186,34.109,0.009298279503701351
2025-10-13,44.3876,-68.2039,Bar Harbor,US,11351,Time Warner Cable Internet LLC,46.1122,-64.6786,yqm02,Moncton,394.9773630499653,41.781,0.0
2025-10-13,44.4353,-69.0111,Belfast,US,13335,"Cloudflare, Inc.",46.1122,-64.6786,yqm02,Moncton,50.21891817216089,11.947,0.0
2025-10-13,43.6842,-70.2816,Portland,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul06,Montreal,7.128261582475485,39.018,0.1895803894825177
2025-10-13,43.6598,-70.2547,Portland,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul03,Montreal,12.243831003895881,32.065,0.15066271018793273
2025-10-13,44.2157,-70.558,Norway,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul06,Montreal,484.6355576643,27.903,3.9255040700767713e-07
2025-10-13,43.9684,-70.1846,South West Bend,US,13977,"FAIRPOINT COMMUNICATIONS, INC.",45.4657,-73.7455,yul06,Montreal,5.919394562378225,14.126,0.0
2025-10-13,43.0939,-70.7404,Kittery,US,27382,"ColoSpace, Inc.",45.4657,-73.7455,yul03,Montreal,194.94954620966126,14.932,0.005532153641706579
